,Latitude,Longitude,City Name,ID,Max Temp,Humidity,Cloudiness,Speed,Date
78,-33.918,25.5701,Port Elizabeth,964420,60.85,58,28,10.76,1635055215
79,34.6391,-120.4579,Lompoc,5367788,60.26,87,1,0.0,1635055457
80,10.9995,122.6711,Dingle,1714733,85.32,74,75,5.53,1635055458
81,-28.275,-49.1656,Braço do Norte,3469115,68.25,98,100,2.82,1635055458
82,22.0752,-159.319,Kapaa,5848280,76.98,85,40,1.01,1635055459
83,-29.9533,-71.3436,Coquimbo,3893629,53.33,87,0,5.75,1635055185
84,4.9158,29.4742,Maridi,370457,74.95,80,35,2.3,1635055459
85,54.1376,38.1604,Gritsovskiy,558497,37.49,96,100,13.27,1635055459
86,47.6931,40.1025,Mayskiy,528242,51.44,52,99,7.67,1635055460
87,60.1432,-45.2371,Nanortalik,3421765,34.93,65,22,21.09,1635055460
88,22.8909,-109.9124,Cabo San Lucas,3985710,77.5,79,3,10.67,1635055460
89,52.7651,23.1865,Bielsk Podlaski,775986,38.25,85,87,7.63,1635055461
90,55.7435,-97.8558,Thompson,6165406,35.89,72,100,4.56,1635055461
91,68.75,161.3,Cherskiy,2126199,-11.45,100,76,5.01,1635055462
92,36.7305,14.8499,Pozzallo,6541973,74.05,86,100,22.93,1635055462
93,19.7297,-155.09,Hilo,5855927,75.27,93,61,4.0,1635055361
94,70.8578,29.0864,Berlevåg,780687,36.43,65,77,19.08,1635055462
95,-42.7167,170.9667,Hokitika,2206894,56.57,89,100,4.92,1635055463
96,1.3038,124.9112,Tondano,1623424,69.89,72,100,1.57,1635055463
97,-7.2833,-76.8,Huicungo,3696267,72.84,86,27,1.59,1635055463
98,63.8424,-22.4338,Grindavik,3416888,45.07,93,75,9.22,1635055464
99,-20.3428,57.7575,Bambous Virieux,1106677,79.21,67,78,13.42,1635055464
100,58.4497,92.1703,Yeniseysk,1485997,41.11,95,100,13.49,1635055465
101,50.6789,156.125,Severo-Kuril'sk,2121385,39.76,74,84,10.71,1635055465
102,48.0056,91.6419,Khovd,1516048,44.29,18,59,0.47,1635055465
103,65.9939,57.5281,Usinsk,863061,20.05,95,20,7.34,1635055466
104,-7.9386,110.2506,Srandakan,1626493,85.53,65,32,11.99,1635055466
105,-21.2078,-159.775,Avarua,4035715,71.65,64,90,3.44,1635055384
106,-20.5167,57.5167,Souillac,933995,79.36,63,18,12.95,1635055467
107,-17.1167,-63.2333,Mineros,3910343,67.59,89,97,13.98,1635055467
108,57.7177,38.9334,Bol'shoye Selo,573338,36.73,97,100,6.82,1635055468
109,67.4667,78.7,Tazovsky,1489853,31.53,98,100,7.78,1635055468
110,52.85,-102.3842,Hudson Bay,5978133,31.51,87,8,6.08,1635055469
111,36.6167,101.7667,Xining,1788852,50.85,50,99,5.12,1635055212
